"id"|"cod_parent"|"nombre_examen"|"tipo_examen"|"habilitado"|"sub_tipo"|"codigo"|"algo"
103|7|"GLUCOSA, PRUEBA DE TOLERANCIA A LA GLUCOSA"|38|1|2|302048|"NULL"
104|7|"ADENOSINDEAMINASA EN SANGRE U OTRO"|39|1|2|302050|"NULL"
105|7|"LEUCINAMINOPEPTIDASA (LAP) "|40|1|2|302052|"NULL"
106|7|"LIPASA EN SANGRE "|41|1|2|302053|"NULL"
107|7|"LITIO EN SANGRE "|42|1|2|302055|"NULL"
108|7|"MAGNESIO EN SANGRE "|43|1|2|302056|"NULL"
109|7|"NITROGENO UREICO Y/O UREA, EN SANGRE "|44|1|2|302057|"NULL"
110|7|"OSMOLARIDAD EN SANGRE "|45|1|2|302058|"NULL"
111|7|"PERFIL BIOQUIMICO"|46|1|2|302075|"NULL"
112|7|"PROTEINAS TOTALES O ALBUMINAS"|47|1|2|302060|"NULL"
113|7|"PROTEINAS, ELECTROFORESIS"|48|1|2|302061|"NULL"
114|7|"PERFIL HEPATICO"|49|1|2|302076|"NULL"
115|7|"TRANSAMINASAS, OXALACETICA (GOT/AST)"|50|1|2|302063|"NULL"
116|7|"TRIGLICERIDOS EN SANGRE"|51|1|2|302064|"NULL"
117|7|"XILOSA, PRUEBA DE ABSORCION"|52|1|2|302066|"NULL"
118|7|"VITAMINA B12 POR INMUNOENSAYO "|53|1|2|302077|"NULL"
119|7|"VITAMINA B6 POR HPLC "|54|1|2|302080|"NULL"
120|7|"CALCIO IONICO. INCLUYE MEDICION DE PH"|55|1|2|302081|"NULL"
121|7|"FENILALANINA CUANTITATIVA EN GOTAS DE SANGRE SECA "|56|1|2|302082|"NULL"
122|4|"HORMONAS EN SANGRE"|3|1|1|1000000|"NULL"
123|122|"ADENOCORTICOTROFINA (ACTH) "|1|1|2|303001|"NULL"
124|122|"ALDOSTERONA"|2|1|2|303002|"NULL"
125|122|"ANDROSTENEDIONA "|3|1|2|303003|"NULL"
126|122|"ANGIOTENSINA "|4|1|2|303004|"NULL"
127|122|"CORTISOL "|5|1|2|303006|"NULL"
128|122|"CRECIMIENTO, HORMONA DE (HGH) (SOMATOTROFINA) "|6|1|2|303007|"NULL"
129|122|"DEHIDROEPIANDROSTERONA SULFATO (DHEA-S) "|7|1|2|303008|"NULL"
130|122|"ERITROPOYETINA "|8|1|2|303009|"NULL"
131|122|"GASTRINA "|9|1|2|303012|"NULL"
132|122|"GONADOTROFINA CORIONICA, SUB-UNIDAD BETA"|10|1|2|303014|"NULL"
133|122|"HORMONA FOLICULO ESTIMULANTE (FSH) "|11|1|2|303015|"NULL"
134|122|"HORMONA LUTEINIZANTE (LH)"|12|1|2|303016|"NULL"
135|122|"IGF1 O SOMATOMEDINA - C (INSULINE LIKE GROWTH FACTOR) "|13|1|2|303047|"NULL"
136|122|"IGFBP3, IGFBP1 (INSULIN LIKE GROWTH FACTOR BINDING PROTEINS) "|14|1|2|303048|"NULL"
137|122|"INSULINA "|15|1|2|303017|"NULL"
138|122|"INSULINA, CURVA DE"|16|1|2|303031|"NULL"
139|122|"PARATHORMONA, HORMONA PARATIROIDEA O"|17|1|2|303018|"NULL"
140|122|"PROGESTERONA "|18|1|2|303019|"NULL"
141|122|"PROLACTINA (PRL) "|19|1|2|303020|"NULL"
142|122|"RENINA "|20|1|2|303021|"NULL"
143|122|"SHBG (SEX-HORMONE BINDING GLOBULIN) "|21|1|2|303046|"NULL"
144|122|"TESTOSTERONA EN SANGRE "|22|1|2|303022|"NULL"
145|122|"TESTOSTERONA LIBRE EN SANGRE "|23|1|2|303023|"NULL"
146|122|"INDICE ANDROGENICO"|24|1|2|303123|"NULL"
